frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,570,636,1
3,570,636,1
4,570,636,1
5,570,636,1
6,570,636,1
7,570,636,1
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,1295,346,1
23,1295,346,1
24,1296,347,1
25,1297,348,1
26,1297,349,1
27,1043,456,1
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,633,637,1
41,634,637,1
42,635,637,1
43,-1,-1,0
44,-1,-1,0
45,637,637,1
46,639,637,1
47,641,637,1
48,642,637,1
49,643,637,1
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,1480,586,1
105,1472,558,1
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,-1,-1,0
116,1427,384,1
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,-1,-1,0
124,1255,486,1
125,1258,469,1
126,1261,457,1
127,1263,447,1
128,1265,441,1
129,1267,438,1
130,1269,436,1
131,1271,436,1
132,1272,436,1
133,1273,437,1
134,1275,440,1
135,1277,442,1
136,1278,443,1
137,1279,446,1
138,1282,448,1
139,1283,449,1
140,1284,450,1
141,1286,451,1
142,1287,451,1
143,1289,451,1
144,1290,451,1
145,1291,451,1
146,1293,450,1
147,1294,450,1
148,1295,449,1
149,1296,449,1
150,1296,449,1
151,1298,448,1
152,1300,447,1
153,1301,445,1
154,1303,444,1
155,1303,443,1
156,1304,442,1
157,1305,440,1
158,1306,439,1
159,1306,438,1
160,1341,433,1
161,1331,430,1
162,1323,428,1
163,1316,427,1
164,1320,429,1
165,1323,431,1
166,1314,429,1
167,1308,427,1
168,1303,425,1
169,1298,423,1
170,1295,422,1
171,1292,419,1
172,1289,418,1
173,1326,392,1
174,1355,373,1
175,1377,360,1
176,1392,352,1
177,1402,347,1
178,1366,365,1
179,1335,380,1
180,1311,392,1
181,1293,401,1
182,1280,408,1
183,1270,410,1
184,1264,412,1
185,1191,483,1
186,1135,537,1
187,1163,504,1
188,1189,475,1
189,1270,456,1
190,1333,440,1
191,1380,428,1
192,1350,415,1
193,1324,405,1
194,1362,412,1
195,1391,419,1
196,1409,427,1
197,1421,434,1
198,1361,420,1
199,1312,410,1
200,1276,402,1
201,1246,399,1
202,1226,396,1
203,1085,474,1
204,980,535,1
205,906,579,1
206,847,611,1
207,963,659,1
208,1061,692,1
209,1139,713,1
210,1195,725,1
211,1236,729,1
212,1263,570,1
213,1280,445,1
214,1289,351,1
215,1288,284,1
216,1285,240,1
217,1277,212,1
218,1270,198,1
219,1261,193,1
220,1254,195,1
221,1246,201,1
222,1241,208,1
223,1237,217,1
224,1233,224,1
225,1231,230,1
226,1230,235,1
227,1230,240,1
228,1230,243,1
229,1233,244,1
230,1235,245,1
231,1237,246,1
232,1238,246,1
233,1239,246,1
234,1240,246,1
235,1241,246,1
236,1241,246,1
237,1242,246,1
238,976,393,1
239,773,507,1
240,617,590,1
241,509,647,1
242,714,534,1
243,886,441,1
244,1023,366,1
245,1127,309,1
246,1203,268,1
247,1254,240,1
248,1286,223,1
249,1303,215,1
250,1310,212,1
251,1309,213,1
252,1305,216,1
253,1298,221,1
254,1290,227,1
255,1282,232,1
256,953,387,1
257,699,506,1
258,837,444,1
259,957,390,1
260,1057,345,1
261,1136,310,1
262,1197,284,1
263,1240,265,1
264,1269,253,1
