frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,1288,439,1
4,1194,663,1
5,1164,736,1
6,1153,762,1
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,1176,706,1
20,1176,706,1
21,1176,707,1
22,1176,707,1
23,-1,-1,0
24,-1,-1,0
25,1389,664,1
26,1550,631,1
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,1318,458,1
35,1266,551,1
36,1225,623,1
37,1248,585,1
38,1268,552,1
39,1285,524,1
40,1298,505,1
41,1308,490,1
42,1314,481,1
43,1319,476,1
44,1321,475,1
45,1322,476,1
46,1272,557,1
47,1232,620,1
48,1204,666,1
49,1184,698,1
50,1221,646,1
51,1251,602,1
52,1275,567,1
53,1293,542,1
54,1306,524,1
55,1315,513,1
56,1320,507,1
57,1322,503,1
58,1323,504,1
59,1323,505,1
60,1321,508,1
61,1320,512,1
62,1318,515,1
63,1316,518,1
64,1315,522,1
65,1313,524,1
66,1312,526,1
67,1311,528,1
68,1310,529,1
69,1310,530,1
70,1310,530,1
71,1309,531,1
72,1309,531,1
73,1309,530,1
74,1309,530,1
75,1309,530,1
76,1309,529,1
77,1308,529,1
78,1166,595,1
79,1058,647,1
80,978,684,1
81,924,710,1
82,889,726,1
83,870,735,1
84,862,738,1
85,862,738,1
86,866,736,1
87,873,731,1
88,882,727,1
89,890,722,1
90,897,717,1
91,904,713,1
92,909,709,1
93,913,706,1
94,916,703,1
95,918,701,1
96,919,699,1
97,920,698,1
98,920,697,1
99,919,696,1
100,919,696,1
101,919,695,1
102,919,695,1
103,918,695,1
104,917,695,1
105,917,695,1
106,917,695,1
107,916,694,1
108,916,694,1
109,916,694,1
110,916,694,1
111,916,694,1
112,916,695,1
113,916,695,1
114,916,695,1
115,916,696,1
116,916,697,1
117,917,697,1
118,917,698,1
119,917,699,1
120,918,700,1
121,918,701,1
122,918,702,1
123,919,703,1
124,919,704,1
125,920,706,1
126,921,707,1
127,922,708,1
128,923,709,1
129,923,710,1
130,924,710,1
131,925,710,1
132,926,709,1
133,926,708,1
134,927,707,1
135,928,705,1
136,928,704,1
137,928,701,1
138,928,699,1
139,929,696,1
140,928,694,1
141,928,691,1
142,928,689,1
143,928,686,1
144,927,683,1
145,926,681,1
146,926,679,1
147,925,678,1
148,924,676,1
149,924,675,1
150,923,674,1
151,922,674,1
152,922,674,1
153,921,674,1
154,920,675,1
155,919,676,1
156,918,678,1
157,918,678,1
158,917,681,1
159,916,683,1
160,1008,656,1
161,1079,635,1
162,1036,649,1
163,1000,662,1
164,1071,646,1
165,1126,635,1
166,1169,629,1
167,1199,625,1
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,1162,651,1
193,1161,652,1
194,1273,671,1
195,1360,686,1
196,1423,679,1
197,1467,673,1
198,1495,668,1
199,-1,-1,0
200,-1,-1,0
201,-1,-1,0
202,-1,-1,0
203,-1,-1,0
204,-1,-1,0
205,-1,-1,0
206,-1,-1,0
207,-1,-1,0
208,-1,-1,0
209,-1,-1,0
210,-1,-1,0
211,-1,-1,0
212,-1,-1,0
213,-1,-1,0
214,-1,-1,0
215,-1,-1,0
216,-1,-1,0
217,-1,-1,0
218,-1,-1,0
219,-1,-1,0
220,-1,-1,0
221,-1,-1,0
222,-1,-1,0
223,-1,-1,0
224,-1,-1,0
225,-1,-1,0
226,-1,-1,0
227,-1,-1,0
228,-1,-1,0
229,-1,-1,0
230,-1,-1,0
231,-1,-1,0
232,-1,-1,0
233,-1,-1,0
234,-1,-1,0
235,-1,-1,0
236,-1,-1,0
237,-1,-1,0
238,-1,-1,0
239,-1,-1,0
240,-1,-1,0
241,-1,-1,0
242,-1,-1,0
243,-1,-1,0
244,-1,-1,0
245,-1,-1,0
246,-1,-1,0
247,-1,-1,0
248,-1,-1,0
249,-1,-1,0
250,-1,-1,0
251,-1,-1,0
252,-1,-1,0
253,-1,-1,0
254,1473,664,1
255,1474,665,1
256,-1,-1,0
257,-1,-1,0
258,1369,624,1
259,1288,593,1
260,-1,-1,0
261,-1,-1,0
262,-1,-1,0
263,-1,-1,0
264,-1,-1,0
265,-1,-1,0
266,-1,-1,0
267,-1,-1,0
268,-1,-1,0
269,-1,-1,0
270,-1,-1,0
271,-1,-1,0
272,-1,-1,0
273,-1,-1,0
274,-1,-1,0
275,-1,-1,0
276,-1,-1,0
277,-1,-1,0
278,-1,-1,0
279,-1,-1,0
280,-1,-1,0
281,-1,-1,0
282,-1,-1,0
283,-1,-1,0
284,-1,-1,0
285,1311,492,1
286,1206,548,1
287,1126,591,1
288,1067,623,1
289,1027,644,1
290,-1,-1,0
291,-1,-1,0
292,1002,659,1
