frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,1949,615,1
3,1946,615,1
4,1944,615,1
5,1941,616,1
6,1937,616,1
7,1934,617,1
8,1930,617,1
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,1923,616,1
13,1915,605,1
14,1909,596,1
15,1904,590,1
16,1901,595,1
17,1897,590,1
18,1893,586,1
19,1889,583,1
20,1885,582,1
21,1881,581,1
22,1877,580,1
23,1874,581,1
24,1869,581,1
25,-1,-1,0
26,1863,582,1
27,1858,583,1
28,-1,-1,0
29,1851,585,1
30,1844,586,1
31,1837,587,1
32,-1,-1,0
33,-1,-1,0
34,1825,587,1
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,1744,572,1
57,1741,572,1
58,1737,571,1
59,1733,571,1
60,1729,570,1
61,1723,570,1
62,1718,570,1
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,1565,522,1
91,1454,433,1
92,1516,483,1
93,-1,-1,0
94,-1,-1,0
95,1572,528,1
96,1618,565,1
97,1655,594,1
98,1682,617,1
99,1703,632,1
100,1716,643,1
101,1726,650,1
102,1731,654,1
103,1734,655,1
104,1736,655,1
105,1736,653,1
106,1735,652,1
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,-1,-1,0
116,-1,-1,0
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,1240,550,1
126,1241,547,1
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,-1,-1,0
135,-1,-1,0
136,1631,533,1
137,1628,555,1
138,1627,570,1
139,1626,579,1
140,1628,586,1
141,1629,588,1
142,1631,589,1
143,1634,589,1
144,-1,-1,0
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,-1,-1,0
157,1677,572,1
158,1677,572,1
159,1678,572,1
160,-1,-1,0
161,-1,-1,0
162,-1,-1,0
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,1305,391,1
176,1305,391,1
177,1304,391,1
178,1303,390,1
179,1302,390,1
180,1301,390,1
181,-1,-1,0
182,-1,-1,0
183,1301,390,1
184,1301,389,1
185,1301,389,1
186,1301,389,1
187,1302,388,1
188,1302,388,1
189,1303,387,1
190,1304,387,1
191,1305,387,1
192,1307,386,1
193,1308,386,1
194,1310,386,1
195,1311,386,1
196,-1,-1,0
197,-1,-1,0
198,-1,-1,0
199,-1,-1,0
200,-1,-1,0
201,-1,-1,0
202,-1,-1,0
203,-1,-1,0
204,-1,-1,0
205,-1,-1,0
206,-1,-1,0
207,-1,-1,0
208,-1,-1,0
209,-1,-1,0
210,-1,-1,0
211,-1,-1,0
212,-1,-1,0
213,-1,-1,0
214,-1,-1,0
215,-1,-1,0
216,1349,393,1
217,1351,393,1
218,-1,-1,0
219,-1,-1,0
220,-1,-1,0
221,-1,-1,0
222,-1,-1,0
223,-1,-1,0
224,-1,-1,0
225,-1,-1,0
226,-1,-1,0
227,-1,-1,0
228,-1,-1,0
229,-1,-1,0
230,-1,-1,0
231,-1,-1,0
232,-1,-1,0
233,-1,-1,0
234,-1,-1,0
235,-1,-1,0
236,-1,-1,0
237,-1,-1,0
238,-1,-1,0
239,-1,-1,0
240,2164,397,1
241,-1,-1,0
242,-1,-1,0
243,2104,444,1
244,2058,480,1
245,2025,506,1
246,2002,524,1
247,1988,536,1
248,1980,542,1
249,1977,545,1
250,1977,545,1
251,1979,543,1
252,1982,541,1
253,1986,538,1
254,1989,535,1
255,1992,532,1
256,1995,530,1
257,1998,528,1
258,2000,527,1
259,2001,525,1
260,2002,525,1
261,2003,524,1
262,2003,524,1
263,2003,524,1
264,2003,524,1
265,2003,524,1
266,2003,524,1
267,2003,524,1
268,2003,524,1
269,2003,524,1
270,2003,524,1
271,2003,524,1
272,2002,524,1
273,2002,524,1
