frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,975,418,1
46,978,417,1
47,986,419,1
48,990,420,1
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,1120,357,1
59,1120,358,1
60,1119,361,1
61,1119,363,1
62,1119,365,1
63,1118,366,1
64,1118,367,1
65,1117,369,1
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,-1,-1,0
116,-1,-1,0
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,2103,445,1
124,2058,481,1
125,2024,508,1
126,2002,526,1
127,1987,537,1
128,1979,544,1
129,1976,546,1
130,1976,547,1
131,1978,545,1
132,1981,543,1
133,1985,540,1
134,1989,537,1
135,1992,534,1
136,1995,532,1
137,1997,530,1
138,1999,529,1
139,2001,527,1
140,2002,527,1
141,2002,526,1
142,2003,526,1
143,2003,526,1
144,2003,526,1
145,2003,526,1
146,2003,526,1
147,2003,526,1
148,2002,526,1
149,2002,526,1
150,2002,526,1
151,2002,526,1
152,2002,526,1
153,2002,526,1
154,2002,526,1
155,2002,526,1
156,2002,526,1
157,2002,526,1
158,2002,526,1
159,2002,526,1
160,2002,526,1
161,2002,526,1
162,2002,526,1
163,2002,526,1
164,2002,526,1
165,2002,526,1
166,2002,526,1
167,2002,526,1
168,2002,526,1
169,2002,526,1
170,2002,526,1
171,2002,526,1
172,2002,526,1
173,2002,526,1
174,2002,526,1
175,2002,526,1
176,2002,526,1
177,2002,526,1
